"SECONDS";"PID";"VALUE";"UNITS"
"32644.620139";"Стоимость топлива (общий)";"90.5";"₽"
"32644.646139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32644.646139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32644.719139";"Пройденный путь";"0";"km"
"32644.719139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32644.719139";"Скорость автомобиля";"0";"km/h"
"32644.719139";"Средняя скорость";"0";"km/h"
"32644.719139";"Ускорение";"0";"g"
"32644.754139";"Power from MAF";"0";"hp"
"32644.754139";"Использовано топлива";"0";"L"
"32644.754139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32644.754139";"Массовый расход воздуха";"0";"g/sec"
"32644.754139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32644.754139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32644.754139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32644.754139";"Стоимость топлива";"0";"₽"
"32644.754139";"Стоимость топлива (общий)";"90.5";"₽"
"32644.790139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32644.790139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32644.864139";"Пройденный путь";"0";"km"
"32644.864139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32644.864139";"Скорость автомобиля";"0";"km/h"
"32644.864139";"Средняя скорость";"0";"km/h"
"32644.864139";"Ускорение";"0";"g"
"32644.900139";"Power from MAF";"0";"hp"
"32644.900139";"Использовано топлива";"0";"L"
"32644.900139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32644.900139";"Массовый расход воздуха";"0";"g/sec"
"32644.900139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32644.900139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32644.900139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32644.900139";"Стоимость топлива";"0";"₽"
"32644.900139";"Стоимость топлива (общий)";"90.5";"₽"
"32644.936139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32644.936139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32645.008139";"Пройденный путь";"0";"km"
"32645.008139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32645.008139";"Скорость автомобиля";"0";"km/h"
"32645.008139";"Средняя скорость";"0";"km/h"
"32645.008139";"Ускорение";"0";"g"
"32645.045139";"Power from MAF";"0";"hp"
"32645.045139";"Использовано топлива";"0";"L"
"32645.045139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32645.045139";"Массовый расход воздуха";"0";"g/sec"
"32645.045139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32645.045139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32645.045139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32645.045139";"Стоимость топлива";"0";"₽"
"32645.045139";"Стоимость топлива (общий)";"90.5";"₽"
"32645.082139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32645.082139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32645.145139";"Пройденный путь";"0";"km"
"32645.145139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32645.145139";"Скорость автомобиля";"0";"km/h"
"32645.145139";"Средняя скорость";"0";"km/h"
"32645.145139";"Ускорение";"0";"g"
"32645.181139";"Power from MAF";"0";"hp"
"32645.181139";"Использовано топлива";"0";"L"
"32645.181139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32645.181139";"Массовый расход воздуха";"0";"g/sec"
"32645.181139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32645.181139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
