time,"Fuel economizer (based on fuel system status and throttle position) ()","Power from MAF (hp)","Использовано топлива (L)","Использовано топлива (общий) (L)","Массовый расход воздуха (g/sec)","Мгновенный расход топлива (л/100 км) (L/100km)","Мгновенный расход топлива (л/ч) (L/h)","Моментальная мощность двигателя (от расхода топлива) (hp)","Обороты двигателя (rpm)","Положение дроссельной заслонки (%)","Пройденный путь (km)","Пройденный путь (общий) (km)","Скорость автомобиля (km/h)","Средний расход топлива (л/100 км) (L/100km)","Средний расход топлива (л/100 км) (общий) (L/100km)","Средний расход топлива (л/100 км) 10 sec (L/100km)","Средняя скорость (km/h)","Стоимость топлива (₽)","Стоимость топлива (общий) (₽)","Температура охлаждающей жидкости (℃)","Ускорение (g)",
11:33:29.054,,,,,,,,,,,,,0,,,,,,,,,
11:33:29.154,,8.808,,,7.34,,,,,,,,,,,,,,,,,
11:33:29.215,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:29.362,,,,,,,,,,,0,8.61403336377778,0,,,,,,,,,
11:33:29.436,,8.808,,,7.34,,2.46239865809337,9.63339086405723,,,,,,,,,,,,,,
11:33:29.497,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:29.568,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,,
11:33:29.604,,8.952,0.000116856996552045,1.30332009173143,7.46,,2.50265585686329,9.79088499262492,,,,,,,15.130195538967,,,0.00555070733622216,61.9,,,
11:33:29.785,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:29.951,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,,
11:33:29.987,,8.952,0.000382527819401733,1.30358576255428,7.46,,2.50265585686329,9.79088499262492,,,,,,,15.1332797018861,,,0.0181700714215823,61.9,,,
11:33:30.023,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:30.093,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:30.131,,8.952,0.000483099061038114,1.30368633379592,7.46,,2.50265585686329,9.79088499262492,,,,,,,15.1344472297722,,,0.0229472053993104,61.9,,,
11:33:30.161,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:30.265,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:30.304,,8.952,0.000603135264746995,1.30380636999963,7.46,,2.50265585686329,9.79088499262492,,,,,,,15.135840725695,,,0.0286489250754822,61.9,,,
11:33:30.328,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:30.389,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:30.435,,8.952,0.000694333156462585,1.30389756789134,7.46,,2.50265585686329,9.79088499262492,,,,,,,15.1368994387027,,,0.0329808249319728,61.9,,,
11:33:30.459,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:30.528,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:30.576,,8.7,0.000789612182182462,1.30399284691706,7.25,,2.43220575901594,9.51527026763146,,,,,,,15.1380055294467,,,0.037506578653667,61.9,,,
11:33:30.613,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:30.681,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:30.727,,8.7,0.000891598623334265,1.30409483335822,7.25,,2.43220575901594,9.51527026763146,,,,,,,15.1391894863325,,,0.0423509346083776,61.9,,,
11:33:30.761,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:30.819,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:30.951,,8.7,0.00104304444152456,1.30424627917641,7.25,,2.43220575901594,9.51527026763146,,,,,,,15.1409476153273,,,0.0495446109724164,61.9,,,
11:33:30.986,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:31.054,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:31.089,,8.7,0.00113610306607026,1.30433933780095,7.25,,2.43220575901594,9.51527026763146,,,,,,,15.1420279295148,,,0.0539648956383375,61.9,,,
11:33:31.124,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:31.290,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:31.325,,8.7,0.00129544402683813,1.30449867876172,7.25,,2.43220575901594,9.51527026763146,,,,,,,15.1438777129326,,,0.0615335912748113,61.9,,,
11:33:31.363,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:31.433,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:31.458,,8.7,0.0013856616323735,1.30458889636725,7.25,,2.43220575901594,9.51527026763146,,,,,,,15.1449250458337,,,0.0658189275377411,61.9,,,
11:33:31.496,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:31.575,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:31.610,,8.664,0.00148779230351319,1.30469102703839,7.22,,2.42214145932346,9.47589673548954,,,,,,,15.1461106770802,,,0.0706701344168763,61.9,,,
11:33:31.647,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:31.717,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:31.752,,8.664,0.00158331947693598,1.30478655421182,7.22,,2.42214145932346,9.47589673548954,,,,,,,15.1472196485618,,,0.075207675154459,61.9,,,
11:33:31.788,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:32.179,,,,,,,,,,,,,,,,,,,,-12,,
11:33:32.245,,,,,,,,,1322,,,,,,,,,,,,,
11:33:32.299,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:32.355,,8.664,0.00198876913679993,1.30519200387168,7.22,,2.42214145932346,9.47589673548954,,,,,,,15.1519264989157,,,0.0944665339979964,61.9,,,
11:33:32.414,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:32.506,,,,,,,,,,,,,,,,,,,,-12,,
11:33:32.562,,,,,,,,,1322,,,,,,,,,,,,,
11:33:32.598,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:32.635,,8.604,0.00217595745130929,1.30537919218619,7.17,,2.40536762650266,9.41027418191966,,,,,,,15.1540995612502,,,0.103357978937191,61.9,,,
11:33:32.670,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:32.736,,,,,,,,,,,,,,,,,,,,-12,,
11:33:32.770,,,,,,,,,1299,,,,,,,,,,,,,
11:33:32.820,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:32.854,,8.604,0.00232221850246948,1.30552545323735,7.17,,2.40536762650266,9.41027418191966,,,,,,,15.1557975004731,,,0.1103053788673,61.9,,,
11:33:32.975,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:33.044,,,,,,,,,,,,,,,,,,,,-12,,
11:33:33.079,,,,,,,,,1299,,,,,,,,,,,,,
11:33:33.114,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:33.148,,8.604,0.00251889739539651,1.30572213213028,7.17,,2.40536762650266,9.41027418191966,,,,,,,15.1580807385872,,,0.119647626281334,61.9,,,
11:33:33.183,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:33.252,,,,,,,,,,,,,,,,,,,,-12,,
11:33:33.287,,,,,,,,,1299,,,,,,,,,,,,,
11:33:33.321,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:33.355,,8.604,0.00265734173674401,1.30586057647162,7.17,,2.40536762650266,9.41027418191966,,,,,,,15.1596879339103,,,0.126223732495341,61.9,,,
11:33:33.390,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
11:33:33.458,,,,,,,,,,,,,,,,,,,,-12,,
11:33:33.492,,,,,,,,,1299,,,,,,,,,,,,,
11:33:33.527,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:33.561,,8.604,0.00279457858354301,1.30599781331842,7.17,,2.40536762650266,9.41027418191966,,,,,,,15.161281111473,,,0.132742482718293,61.9,,,
11:33:33.596,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:33.664,,,,,,,,,,,,,,,,,,,,-11,,
11:33:33.701,,,,,,,,,1317,,,,,,,,,,,,,
11:33:33.726,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:33.760,,8.64,0.00292853743173982,1.30613177216662,7.2,,2.41543192619514,9.44964771406159,,,,,,,15.1628362348692,,,0.139105528007641,61.9,,,
11:33:33.786,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:33.951,,,,,,,,,,,,,,,,,,,,-11,,
11:33:33.986,,,,,,,,,1317,,,,,,,,,,,,,
11:33:34.020,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:34.089,,8.64,0.00314879832075296,1.30635203305563,7.2,,2.41543192619514,9.44964771406159,,,,,,,15.1653932355182,,,0.149567920235766,61.9,,,
11:33:34.114,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:34.173,,,,,,,,,,,,,,,,,,,,-11,,
11:33:34.208,,,,,,,,,1317,,,,,,,,,,,,,
11:33:34.243,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:34.439,,8.64,0.00338386218432578,1.30658709691921,7.2,,2.41543192619514,9.44964771406159,,,,,,,15.1681220833604,,,0.160733453755475,61.9,,,
11:33:34.465,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:34.534,,,,,,,,,,,,,,,,,,,,-11,,
11:33:34.581,,,,,,,,,1301,,,,,,,,,,,,,
11:33:34.616,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:34.664,,8.436,0.00353135172845028,1.30673458646333,7.03,,2.35840089460442,9.22653103192402,,,,,,,15.1698342841134,,,0.167739207101388,61.9,,,
11:33:34.699,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:34.769,,,,,,,,,,,,,,,,,,,,-11,,
11:33:34.800,,,,,,,,,1301,,,,,,,,,,,,,
11:33:34.851,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:35.025,,8.436,0.00376742398937657,1.30697065872426,7.03,,2.35840089460442,9.22653103192402,,,,,,,15.1725748384038,,,0.178952639495387,61.9,,,
11:33:35.050,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:35.123,,,,,,,,,,,,,,,,,,,,-11,,
11:33:35.159,,,,,,,,,1301,,,,,,,,,,,,,
11:33:35.194,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:35.229,,8.436,0.0039014990147237,1.3071047337496,7.03,,2.35840089460442,9.22653103192402,,,,,,,15.1741313104963,,,0.185321203199376,61.9,,,
11:33:35.264,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:35.335,,,,,,,,,,,,,,,,,,,,-11,,
11:33:35.381,,,,,,,,,1301,,,,,,,,,,,,,
11:33:35.415,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:35.450,,8.436,0.00404584382778865,1.30724907856267,7.03,,2.35840089460442,9.22653103192402,,,,,,,15.1758070041809,,,0.192177581819961,61.9,,,
11:33:35.494,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:35.563,,,,,,,,,,,,,,,,,,,,-11,,
11:33:35.597,,,,,,,,,1289,,,,,,,,,,,,,
11:33:35.632,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:35.665,,8.412,0.00418669106551114,1.30738992580039,7.01,,2.3516913614761,9.20028201049607,,,,,,,15.1774420946406,,,0.198867825611779,61.9,,,
11:33:35.700,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:35.768,,,,,,,,,,,,,,,,,,,,-11,,
11:33:35.802,,,,,,,,,1289,,,,,,,,,,,,,
11:33:35.831,,,,,,,,,,,0,8.61403336377778,0,,,,0,,,,0,
11:33:35.957,,8.412,0.00437721536622868,1.30758045010111,7.01,,2.3516913614761,9.20028201049607,,,,,,,15.1796538843176,,,0.207917729895862,61.9,,,
11:33:35.991,-1,,,,,,,,,7.05882352941176,,,,,,,,,,,,
11:33:36.059,,,,,,,,,,,,,,,,,,,,-11,,
11:33:36.103,,,,,,,,,1289,,,,,,,,,,,,,
