time,"Fuel economizer (based on fuel system status and throttle position) ()","Power from MAF (hp)","Использовано топлива (L)","Использовано топлива (общий) (L)","Массовый расход воздуха (g/sec)","Мгновенный расход топлива (л/100 км) (L/100km)","Мгновенный расход топлива (л/ч) (L/h)","Моментальная мощность двигателя (от расхода топлива) (hp)","Обороты двигателя (rpm)","Положение дроссельной заслонки (%)","Пройденный путь (km)","Пройденный путь (общий) (km)","Скорость автомобиля (km/h)","Средний расход топлива (л/100 км) (L/100km)","Средний расход топлива (л/100 км) (общий) (L/100km)","Средний расход топлива (л/100 км) 10 sec (L/100km)","Средняя скорость (km/h)","Стоимость топлива (₽)","Стоимость топлива (общий) (₽)","Температура охлаждающей жидкости (℃)","Ускорение (g)",
09:04:03.225,,,,,,,,,,,,,0,,,,,,,,,
09:04:03.380,,0,,,0,,,,,,,,,,,,,,,,,
09:04:03.452,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
09:04:03.577,,,,,,,,,,,0,10.8990797026389,0,,,,,,,,,
09:04:03.651,,0,,,0,,0,0,,,,,,,,,,,,,,
09:04:03.712,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
09:04:03.785,,,,,,,,,,,0,10.8990797026389,0,,,,0,,,,,
09:04:03.812,,0,0,1.90520123586609,0,,0,0,,,,,,,17.4803863064218,,,0,90.5,,,
09:04:03.875,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
09:04:03.946,,,,,,,,,,,0,10.8990797026389,0,,,,0,,,,,
09:04:03.982,,0,0,1.90520123586609,0,,0,0,,,,,,,17.4803863064218,,,0,90.5,,,
09:04:04.018,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
09:04:04.069,,,,,,,,,,,0,10.8990797026389,0,,,,0,,,,0,
09:04:04.107,,0,0,1.90520123586609,0,,0,0,,,,,,,17.4803863064218,,,0,90.5,,,
09:04:04.165,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
09:04:04.237,,,,,,,,,,,0,10.8990797026389,0,,,,0,,,,0,
09:04:04.267,,0,0,1.90520123586609,0,,0,0,,,,,,,17.4803863064218,,,0,90.5,,,
09:04:04.303,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
